赤,aka,2
犬,inu,2
グミ,gumi,2
足,ashi,2
椅子,isu,2
ゴマ,goma,2
餅,mochi,2
河豚,hugu,2
ラメ,rame,2
ガム,gamu,2
蜜柑,mikann,3
カメラ,kamera,3
鰻,unagi,3
箒,houki,3
ビール,bi-ru,3
ワサビ,wasabi,3
雀,suzume,3
ラッコ,rakko,3
ボール,bo-ru,3
河童,kappa,3
紫,murasaki,4
七夕,tanabata,4
マーカー,ma-ka-,4
ミジンコ,mijinnko,4
金魚,kingyo,4
スポーツ,supo-tsu,4
似顔絵,nigaoe,4
しりとり,shiritori,4
電車,dennsya,4
髪の毛,kaminoke,4
夏休み,natsuyasumi,5
赤とんぼ,akatonnbo,5
修行,syugyou,5
ゴミ拾い,gomihiroi,5
東京,toukyou,5
オムライス,omuraisu,5
ボールペン,bo-rupen,5
昼ご飯,hirugohann,5
腕時計,udedokei,5
雪だるま,yukidaruma,5
ポップコーン,poppuko-n,6
水族館,suizokukan,6
宗教,syuukyou,6
動物園,doubutsuen,6
就職,syuusyoku,6
清水寺,kiyomizudera,6
ブラックバス,burakkubasu,6
ヘリコプター,herikoputa-,6
座敷わらし,zashikiwarashi,6
北海道,hokkaidou,6
へのへのもへじ,henohenomohezi,7
日進月歩,nisshinngeppo,7
望遠鏡,bouenkyou,7
オーストラリア,o-sutoraria,7
福沢諭吉,hukuzawayukiti,7
スマートフォン,suma-tofonn,7
ペンキ塗りたて,pennkinuritate,7
スーパーボール,su-pa-bo-ru,7
マウスポインタ,mausupoinnta,7
高速道路,kousokudouro,7
日本一周,nihonnissyuu,8
アプリケーション,apurike-syon,8
透明人間,toumeininngen,8
満員御礼,manninnonnrei,8
国会議事堂,kokkaigijido,8
スカイダイビング,sukaidaibinngu,8
バンジージャンプ,bannji-jannpu,8
平家物語,heikemonogatari,8
スローモーション,suro-mo-syon,8
宇宙空間,utyuukuukan,8
日めくりカレンダー,himekurikarennda-,9
サーターアンダギー,sa-ta-anndagi-,9
単純明快,tannzyunnmeikai,9
フランス人形,hurannsuninngyou,9
ニュースキャスター,nyu-sukyasuta-,9
電動自転車,denndouzitennsya,9
地球温暖化,chikyuuonndannka,9
南極大陸,nannkyokutairiku,9
ハンバーグステーキ,hannba-gusute-ki,9
小笠原諸島,ogasawarasyotou,9
グレートバリアリーフ,gure-tobariari-fu,10
関ヶ原の戦い,sekigaharanotatakai,10
万里の頂上,bannrinotyouzyou,10
最高裁判所,saikousaibansyo,10
アイドリングストップ,aidorinngusutoppu,10
東京オリンピック,toukyouorinnpikku,11
美ら海水族館,tyuraumisuizokukann,11
内閣総理大臣,naikakusouridaijin,11
ありがとうございました,arigatougozaimasita,11
低脂肪牛乳,teishibougyuunyuu,11